,,"1","0000-00-00 00:00:00",
"Amsterdam","portaal.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","rekenkamer.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","ris.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","stadsarchief.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","telewerken.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","webmail.amsterdam.nl","0","0000-00-00 00:00:00",
"Amsterdam","www.amsterdam.nl","0","0000-00-00 00:00:00",
"Apeldoorn","apeldoorn.nl","0","0000-00-00 00:00:00",
"Apeldoorn","begroting.apeldoorn.nl","0","0000-00-00 00:00:00",
"Apeldoorn","gis.apeldoorn.nl","0","0000-00-00 00:00:00",
"Apeldoorn","intranet.apeldoorn.nl","0","0000-00-00 00:00:00",
"Apeldoorn","mail2.apeldoorn.nl","0","0000-00-00 00:00:00",
"Apeldoorn","webmail.apeldoorn.nl","0","0000-00-00 00:00:00",
"Apeldoorn","www.apeldoorn.nl","0","0000-00-00 00:00:00",
"Appingedam","access.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","aeformsmidoffice.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","afspraak.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","afspraken.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","afspreken.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","afvalkalender.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","appl.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","archief.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","auth.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","beeldbank.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","begroting.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","belastingen.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","besluitvorming.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","bestanden.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","bestuur.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","beveiligd.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","biebcgi.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","cars.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","castmanage3.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","cijfers.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","citrix.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","concern.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","crp.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","dacceptatieloket.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","desktop.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","diensten.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","digid.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","digitalecatalogus.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","dloket.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","eforms.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","eloket.appingedam.nl","0","0000-00-00 00:00:00",
